Series ID,A3348645F,A3348708C,A3348771V,A3348834T,A3348897A,A3348960F,A3349023F,A3349086R,A3348582J,A3348648L,A3348711T,A3348774A,A3348837X,A3348900C,A3348963L,A3349026L,A3349089W,A3348585R,A3348651A,A3348714X,A3348777J,A3348840L,A3348903K,A3348966V,A3349029V,A3349092K,A3348588W
Aug-2016,7805.4,6127.3,5100.1,1609.9,2743.7,481.2,278.2,445.6,24591.3,8137.0,6356.0,5136.4,1663.8,2817.4,502.8,256.8,467.1,25337.3,8150.4,6366.6,5125.8,1655.7,2828.8,502.5,257.3,465.4,25352.5
Sep-2016,8043.8,6270.8,5141.5,1622.5,2779.4,483.4,268.9,453.5,25063.6,8211.6,6451.2,5168.5,1663.8,2842.9,504.8,261.0,470.4,25574.1,8189.9,6399.7,5156.5,1659.5,2831.4,504.2,258.9,468.4,25468.4
Oct-2016,8383.1,6508.1,5257.2,1678.8,2899.8,501.9,265.5,480.2,25974.6,8233.0,6421.8,5186.7,1657.1,2841.3,504.8,260.1,470.8,25575.6,8229.5,6430.2,5172.9,1663.2,2834.2,506.0,260.7,470.8,25567.6
Nov-2016,8744.0,6752.1,5337.8,1729.3,2940.9,524.7,259.5,492.7,26781.1,8287.4,6458.8,5181.2,1652.7,2824.4,506.3,261.0,471.3,25643.3,8260.5,6452.5,5174.3,1667.2,2835.3,507.6,262.2,472.3,25631.8
Dec-2016,10783.1,8457.6,6527.7,2139.2,3637.2,659.1,293.2,603.0,33100.2,8274.2,6464.1,5165.4,1673.8,2839.9,511.6,264.8,472.3,25666.0,8279.7,6468.3,5165.6,1672.3,2834.7,508.7,262.7,473.2,25665.2
Jan-2017,8199.0,6355.5,5111.9,1662.1,2764.9,515.9,234.2,462.5,25306.2,8298.9,6513.2,5152.8,1696.1,2840.1,511.4,263.5,476.9,25752.9,8292.1,6481.7,5154.2,1679.1,2833.8,510.1,262.5,474.1,25687.5
Feb-2017,7298.9,5710.5,4493.7,1485.6,2506.4,469.8,223.4,426.7,22615.0,8295.1,6457.7,5146.3,1684.4,2825.3,510.5,262.9,474.1,25656.3,8306.3,6499.7,5147.2,1687.3,2833.9,512.0,261.8,475.1,25723.2
Mar-2017,8085.8,6412.4,4925.8,1668.2,2797.4,512.0,244.6,467.4,25113.5,8304.4,6496.3,5084.3,1680.5,2831.7,510.0,258.2,473.2,25638.6,8326.0,6525.9,5148.8,1694.9,2836.4,514.1,261.1,476.4,25783.5
Apr-2017,7883.7,6286.0,4892.7,1625.6,2693.2,492.8,244.9,464.3,24583.1,8317.7,6561.3,5215.6,1703.1,2839.9,515.7,260.5,478.0,25891.9,8348.9,6554.5,5158.1,1699.7,2841.0,516.2,260.6,477.5,25856.7
May-2017,8132.0,6396.5,4940.1,1668.4,2767.0,500.5,258.6,469.9,25133.2,8409.1,6621.9,5144.6,1710.0,2846.3,520.4,258.8,480.6,25991.6,8371.0,6578.4,5171.1,1701.4,2845.1,517.5,260.5,478.3,25923.3
Jun-2017,8130.1,6368.2,5050.6,1648.8,2740.3,496.6,272.7,460.2,25167.5,8422.2,6597.4,5199.0,1712.3,2847.3,523.8,262.0,479.0,26043.0,8386.1,6594.8,5180.8,1701.4,2846.3,518.0,260.6,478.6,25966.5
Jul-2017,8061.9,6347.9,5192.6,1648.1,2776.6,498.4,288.9,464.2,25278.6,8399.7,6625.1,5204.7,1703.8,2856.0,517.6,262.6,479.5,26049.0,8393.7,6604.9,5183.0,1702.3,2843.6,518.0,260.6,478.2,25984.3
Aug-2017,8090.2,6389.1,5152.2,1639.2,2777.9,490.5,282.4,453.8,25275.4,8361.0,6595.8,5166.6,1683.8,2846.3,512.0,261.1,476.1,25902.7,8397.0,6613.4,5180.0,1705.4,2837.8,517.7,260.4,477.4,25989.0
Sep-2017,8205.9,6368.9,5140.0,1656.7,2756.4,492.7,265.6,462.5,25348.7,8401.2,6587.1,5187.3,1702.0,2817.4,516.7,258.0,475.3,25944.9,8402.0,6627.2,5177.8,1711.4,2830.8,517.8,259.8,476.5,26003.3
Oct-2017,8556.0,6727.1,5233.4,1758.0,2856.3,518.4,264.0,483.9,26397.1,8415.2,6651.1,5160.0,1728.8,2814.7,517.9,259.0,477.3,26024.0,8414.0,6653.0,5180.9,1720.7,2824.4,518.5,259.2,476.1,26046.8
Nov-2017,9036.0,7150.7,5395.8,1833.7,2979.0,549.0,260.3,502.8,27707.3,8484.2,6763.0,5199.2,1748.2,2840.9,528.4,260.7,480.7,26305.2,8435.1,6690.3,5189.6,1730.9,2820.2,519.9,259.1,476.6,26121.8
Dec-2017,10960.7,8757.0,6544.7,2216.5,3594.9,668.3,285.8,611.1,33639.0,8517.9,6754.5,5217.5,1750.5,2827.8,521.5,259.8,478.8,26328.4,8464.8,6732.9,5200.2,1739.1,2818.7,521.7,259.7,477.9,26215.1
Jan-2018,8365.6,6602.5,5220.9,1705.1,2777.9,527.5,231.7,464.7,25896.0,8470.4,6761.0,5255.7,1737.1,2831.0,522.2,260.3,480.1,26317.7,8499.1,6774.3,5210.4,1743.5,2820.3,523.8,261.3,480.3,26313.0
Feb-2018,7527.1,6039.6,4561.3,1540.3,2493.1,483.9,222.9,432.6,23300.7,8549.2,6825.9,5219.5,1745.2,2808.1,526.8,262.6,481.2,26418.5,8534.6,6812.0,5217.0,1744.5,2823.3,526.4,263.5,483.4,26404.7
Mar-2018,8436.2,6821.8,5107.1,1762.2,2813.9,535.2,251.4,490.2,26218.0,8539.3,6839.5,5195.4,1745.1,2817.9,526.0,263.8,487.4,26414.4,8571.5,6844.3,5220.7,1744.1,2825.5,529.5,265.7,487.0,26488.3
Apr-2018,8041.3,6517.3,4822.3,1624.3,2655.0,500.6,253.3,469.3,24883.3,8617.9,6878.0,5210.6,1734.5,2837.3,532.7,270.5,491.2,26572.8,8608.9,6873.4,5224.4,1744.7,2826.1,533.3,267.2,490.4,26568.6
May-2018,8438.3,6698.5,5062.0,1722.7,2758.0,522.1,270.4,482.0,25954.1,8660.6,6888.2,5254.2,1752.5,2831.4,541.1,269.7,493.4,26691.0,8641.0,6903.6,5233.3,1747.4,2825.6,537.4,267.6,493.0,26648.8
Jun-2018,8354.4,6704.9,5065.5,1687.2,2737.0,514.1,278.7,485.5,25827.2,8657.9,6949.7,5228.8,1753.0,2836.7,542.9,267.0,498.4,26734.4,8662.4,6936.7,5251.6,1751.7,2824.8,541.0,266.6,494.8,26729.6
Jul-2018,8304.6,6657.5,5273.3,1696.2,2715.8,522.8,289.6,475.8,25935.6,8667.0,6966.3,5290.6,1752.9,2806.0,540.7,263.7,495.2,26782.5,8669.9,6972.2,5279.2,1756.5,2824.9,543.6,264.5,496.3,26807.1
Aug-2018,8474.8,6793.4,5300.0,1719.0,2774.0,525.0,282.8,471.4,26340.6,8716.6,6982.1,5297.0,1760.5,2821.8,545.4,261.0,494.6,26879.0,8664.3,7006.3,5309.5,1760.5,2826.8,545.2,261.7,497.4,26871.7
Sep-2018,8387.7,6757.1,5226.6,1703.0,2732.1,516.1,262.3,478.9,26063.9,8642.4,7045.2,5331.9,1767.0,2829.9,547.4,257.9,496.5,26918.3,8655.5,7035.2,5336.4,1763.2,2831.7,545.8,259.0,498.5,26925.4
Oct-2018,8747.3,7169.5,5470.5,1802.2,2898.2,548.2,264.2,507.6,27407.7,8608.5,7097.8,5394.8,1771.5,2844.1,546.7,258.1,501.4,27022.9,8653.1,7056.7,5358.1,1764.7,2839.5,545.7,257.0,499.8,26974.6
Nov-2018,9245.0,7511.7,5630.1,1861.6,2998.7,571.6,256.8,533.6,28609.2,8647.4,7071.9,5377.9,1761.6,2849.6,543.7,255.2,505.7,27013.0,8663.6,7071.5,5376.1,1765.7,2847.8,545.4,255.8,501.0,27026.8
Dec-2018,11085.5,9118.5,6729.8,2211.4,3612.4,690.0,280.5,633.2,34361.4,8670.5,7064.9,5393.7,1762.0,2858.5,544.2,256.1,500.1,27050.1,8684.2,7082.2,5393.1,1767.7,2853.3,544.8,255.5,502.2,27083.0
Jan-2019,8651.0,6926.8,5358.7,1746.2,2805.1,553.7,225.3,481.3,26748.0,8727.6,7068.4,5374.0,1770.2,2853.5,546.4,252.9,499.5,27092.5,8708.1,7093.3,5412.3,1771.7,2854.4,544.3,255.9,503.4,27143.2
Feb-2019,7717.4,6292.9,4753.2,1570.3,2544.1,497.3,218.2,455.8,24049.2,8761.1,7111.8,5432.9,1778.0,2863.0,542.5,257.4,507.2,27253.8,8726.9,7107.2,5435.5,1777.3,2852.5,544.2,256.7,504.3,27204.7
Mar-2019,8496.4,7035.3,5279.2,1759.9,2795.8,542.6,245.6,505.7,26660.6,8753.9,7144.4,5468.2,1779.9,2844.7,544.1,260.0,505.4,27300.5,8734.1,7126.1,5461.4,1783.2,2851.2,544.9,257.7,505.4,27264.0
Apr-2019,8247.9,6825.2,5191.3,1713.6,2700.6,525.3,244.3,489.0,25937.2,8712.3,7132.6,5509.8,1792.3,2851.2,547.6,258.4,505.3,27309.5,8729.7,7149.0,5486.9,1788.0,2853.3,546.1,258.6,506.6,27318.3
May-2019,8503.7,7014.1,5329.5,1778.2,2792.5,529.1,261.1,500.0,26708.0,8705.4,7177.5,5513.4,1801.9,2846.2,546.0,259.2,510.4,27360.0,8719.8,7170.2,5507.4,1790.4,2860.8,547.9,259.1,508.1,27363.7
Jun-2019,8371.3,6906.9,5298.6,1708.6,2744.0,519.9,267.7,495.0,26311.9,8711.1,7192.5,5521.8,1788.9,2872.0,553.2,259.2,510.4,27408.9,8714.4,7186.4,5523.3,1791.2,2873.6,550.4,259.4,509.9,27408.6
Jul-2019,8349.8,6886.1,5507.2,1725.6,2826.3,534.8,286.2,486.4,26602.4,8708.4,7196.4,5525.7,1780.6,2899.8,553.2,259.8,506.5,27430.5,,,,,,,,,
Aug-2019,8542.8,7046.9,5585.6,1754.6,2857.8,535.3,282.9,499.0,27104.8,8730.6,7224.2,5559.8,1791.3,2905.5,555.7,260.1,516.4,27543.5,,,,,,,,,
Sep-2019,8451.1,6890.5,5423.1,1724.5,2810.0,528.1,262.2,494.2,26583.6,8753.6,7218.9,5555.1,1797.7,2926.8,560.9,258.6,517.7,27589.2,,,,,,,,,
Oct-2019,8930.2,7304.3,5712.7,1831.2,2992.2,575.3,271.5,525.8,28143.2,8736.7,7206.0,5611.9,1789.8,2933.6,571.7,264.5,520.9,27635.0,,,,,,,,,
Nov-2019,9424.2,7716.0,5939.8,1912.6,3104.6,601.6,266.1,557.4,29522.2,8828.9,7279.3,5675.4,1812.9,2941.6,573.0,263.9,520.9,27895.6,,,,,,,,,
Dec-2019,11156.1,9376.9,7043.9,2239.6,3696.8,740.5,285.8,652.5,35192.1,8741.3,7279.1,5639.7,1785.8,2939.1,581.0,261.4,519.9,27747.2,,,,,,,,,
Jan-2020,8630.8,7121.9,5632.4,1765.5,2867.1,585.4,231.8,488.3,27323.3,8706.9,7241.5,5635.6,1786.2,2895.6,575.9,259.9,506.5,27608.3,,,,,,,,,
Feb-2020,7946.2,6696.7,5174.5,1643.7,2712.5,545.0,227.7,482.2,25428.4,8700.6,7297.4,5697.3,1795.8,2935.9,575.5,259.0,514.1,27775.7,,,,,,,,,
Mar-2020,9057.6,7653.1,5943.5,1922.5,3136.9,620.5,270.5,554.6,29159.2,9374.6,7814.9,6186.1,1958.4,3224.9,625.9,287.9,560.5,30033.3,,,,,,,,,
Apr-2020,7349.1,5946.7,4938.4,1605.5,2574.2,495.1,252.1,458.4,23619.5,7744.5,6199.6,5235.3,1676.7,2697.2,518.1,267.0,478.4,24816.7,,,,,,,,,
May-2020,8787.1,7054.6,5881.2,1912.7,3137.5,586.5,289.2,532.2,28181.1,9011.8,7240.7,6093.0,1946.7,3215.8,607.5,287.4,537.2,28940.1,,,,,,,,,
Jun-2020,8968.6,7237.1,5909.0,1885.2,3150.6,594.7,285.4,537.8,28568.4,9318.1,7541.9,6135.1,1966.8,3301.8,629.1,275.2,557.0,29724.9,,,,,,,,,
Jul-2020,9536.2,7130.8,6470.8,1983.2,3370.2,638.9,312.6,565.5,30008.2,9880.8,7400.0,6457.7,2030.1,3429.9,657.2,282.8,590.6,30729.1,,,,,,,,,
Aug-2020,9278.4,6236.5,6298.6,1931.8,3321.1,619.4,310.0,568.5,28564.2,9667.7,6477.5,6370.4,2006.6,3424.8,652.5,289.1,591.6,29480.4,,,,,,,,,
Sep-2020,9336.0,6212.8,6173.4,1890.3,3254.8,608.6,303.4,556.4,28335.7,9575.2,6442.9,6289.2,1957.7,3376.0,641.9,297.6,582.5,29163.0,,,,,,,,,
Oct-2020,9910.5,6925.3,6430.6,2019.5,3489.7,639.6,308.4,594.3,30318.0,9656.0,6796.4,6276.9,1964.5,3396.1,632.3,298.3,581.1,29601.6,,,,,,,,,
Nov-2020,10448.2,8725.1,6731.1,2034.3,3561.1,674.6,304.0,622.0,33100.4,9868.2,8292.0,6501.2,1953.0,3415.1,648.3,304.9,588.7,31571.4,,,,,,,,,
Dec-2020,12160.5,10012.4,8042.5,2469.4,4271.3,800.3,339.0,735.0,38830.4,9468.9,7723.0,6418.2,1952.6,3368.1,626.4,307.4,586.3,30450.9,,,,,,,,,
Jan-2021,9397.7,7636.5,6299.4,1925.7,3380.7,639.2,275.7,574.0,30129.0,9515.8,7791.8,6317.2,1955.3,3429.4,630.4,309.9,588.7,30538.5,,,,,,,,,
Feb-2021,8477.6,6701.3,5594.3,1728.6,2890.0,580.9,255.0,530.1,26757.8,9629.2,7556.9,6384.8,1958.9,3244.3,634.6,301.4,590.6,30300.6,,,,,,,,,
Mar-2021,9470.1,7800.0,6201.9,1940.4,3390.1,648.8,286.8,572.6,30310.7,9650.4,7819.0,6349.9,1937.1,3424.2,642.6,302.8,573.6,30699.6,,,,,,,,,
